WasteFlow;Veolia Bonneuil;TVL;Ecoembes
vebo-as1-mc3;vebo-as1-mc3;tvlo-mc3-n26;pera-n2-zrr1-replacement
tvlo-mc3-n26;;tvlo-mg2-os7;pera-n2-zrr1
tvlo-mg2-os7;;tvlo-bs4-n2;pera-bo1-bs1
tvlo-bs4-n2;;tvlo-n25-mc3;
tvlo-n25-mc3;;tvlo-bs2-n4;
tvlo-bs2-n4;;tvlo-mg1-ds3;
tvlo-mg1-ds3;;tvlo-n0-mg1;
tvlo-n0-mg1;;tvlo-fh1-bs3;
tvlo-fh1-bs3;;tvlo-bo1-bs1;
tvlo-bo1-bs1;;;
pera-n2-zrr1-replacement;;;
pera-n2-zrr1;;;
pera-bo1-bs1;;;
